Discount,Sales,Sub-Category_Tables,Sub-Category_Storage,Category_Office_Supplies,Sub-Category_Phones,Sub-Category_Paper,Shipping_Cost,Sub-Category_Copiers,Sub-Category_Binders
0.699999988079071,4.426928339062035,0,1,1,0,0,1.90061388269327,0,0
0.699999988079071,4.374599082719602,0,0,0,0,0,1.5830939135953364,0,0
0.699999988079071,5.419419337766787,0,0,0,0,0,4.112184510328406,0,0
0.699999988079071,1.657847079263452,0,0,1,0,0,0.0953101811589758,0,0
0.699999988079071,2.871755052279566,0,0,1,0,0,0.8796267336525216,0,0
0.699999988079071,2.075182494815772,0,1,1,0,0,1.01160091167848,0,0
0.699999988079071,3.7723010517248654,0,1,1,0,0,2.201659170184288,0,0
0.699999988079071,1.425274641499259,0,0,1,0,0,0.2231435513142097,0,1
0.699999988079071,1.4881738025472635,0,0,1,0,0,0.2231435513142097,0,1
0.699999988079071,4.359985461680122,0,0,1,0,0,1.6253112465718973,0,0
0.699999988079071,4.100542003327472,0,1,1,0,0,1.921324662412282,0,0
0.699999988079071,3.7725079960634975,0,1,1,0,0,1.1755733327476772,0,0
0.699999988079071,4.572605646523065,0,0,0,1,0,2.045108865066793,0,0
0.699999988079071,2.0049873716794258,0,0,1,0,0,0.3987761263578664,0,0
0.0,5.735410379644474,0,0,1,0,0,3.4784670124454062,0,0
0.0,3.303951971997548,0,0,1,0,0,1.226712316465715,0,1
0.0,6.3665391361409664,0,0,1,0,1,3.592368545330676,0,0
0.0,4.0900018408841605,0,0,1,0,0,1.3962446825307386,0,1
0.0,6.014448353674191,0,1,1,0,0,3.596215744140057,0,0
0.0,5.6274771877045735,0,0,0,1,0,3.051639887455893,0,0
0.0,3.610106805967289,0,0,1,0,0,1.3428647832724645,0,0
0.0,4.738651566680886,0,0,0,0,0,2.352327206666389,0,0
0.0,3.24726887267247,0,0,1,0,1,1.66581823865906,0,0
0.0,2.515274177152908,0,0,1,0,0,1.5686159079797375,0,0
0.0,2.4782176680377024,0,0,1,0,0,0.7178397698899673,0,0
0.0,4.65319813754676,0,0,0,0,0,2.474014198980387,0,0
0.0,7.014418997836053,0,0,1,0,0,5.097852194330313,0,0
0.0,5.566396004509918,0,0,0,0,0,3.226844024792752,1,0
0.0,4.023564407457634,0,0,1,0,0,1.4996230506843684,0,1
0.0,2.4344901505008125,0,0,1,0,0,0.5538851187073245,0,0
0.0,4.525910475271109,0,0,1,0,0,1.678963999992114,0,0
0.0,6.775000719031572,0,0,0,0,0,4.378269547505607,0,0
0.0,3.998567615224584,0,0,1,0,0,3.1380994916814324,0,0
0.0,5.978784472315703,0,1,1,0,0,4.71492103627446,0,0
0.0,2.2375130840367854,0,0,1,0,0,1.1442228333291342,0,0
0.0,5.829827545635477,0,0,1,0,1,3.3425084176757003,0,0
0.0,6.420418307183245,0,0,0,0,0,5.49030044116866,0,0
0.0,4.033178102652738,0,0,1,0,0,1.6054298948665788,0,0
0.0,4.762515764534214,0,0,0,0,0,2.33408373048212,0,0
0.0,5.293756965397464,0,0,0,0,0,2.6122732541046934,0,0
0.0,5.702715214255647,0,0,0,0,0,3.881563797943437,0,0
0.0,7.371740851253204,0,0,0,0,0,4.635408366087842,0,0
0.0,4.158883083359672,0,0,1,0,0,1.6054298948665788,0,0
0.0,2.6616571402213416,0,0,1,0,0,0.63127177430549,0,0
0.0,6.0751621370035815,0,1,1,0,0,2.7954503843921503,0,0
0.0,2.253394896887692,0,0,1,0,0,0.5538851187073245,0,0
0.0,5.250649085649547,0,0,0,0,0,3.3250359932527256,1,0
0.0,5.2987172957209765,0,0,1,0,0,2.783157678307256,0,1
0.0,5.103639757883384,0,0,0,0,0,1.286473994224166,0,0
0.0,7.278242353737622,0,0,0,0,0,5.298517312988079,0,0
0.0,4.172385250759491,0,0,0,0,0,1.722766580711205,0,0
0.0,2.920469747924632,0,0,0,0,0,0.7275486326164501,0,0
0.0,4.78582371115512,0,0,1,0,1,2.209372673585505,0,0
0.0,2.884241863403715,0,0,1,0,1,0.5709795358097567,0,0
0.0,5.972995012172444,0,0,1,0,0,1.684545360150144,0,0
0.0,2.8639137381028803,0,0,1,0,0,0.5877866715248573,0,0
0.0,5.770724321160108,1,0,0,0,0,2.3214068060553688,0,0
0.0,4.278054023127535,0,0,1,0,0,2.231089136360586,0,0
0.0,4.708809204239691,0,0,1,0,0,2.312535461616493,0,0
0.0,2.510411974283827,0,0,1,0,0,0.7839015699564725,0,0
0.0,2.862200880929469,0,1,1,0,0,1.0260415821605242,0,0
0.0,6.715722758192295,0,0,0,0,0,4.519285410251063,0,0
0.0,4.7044724091681305,0,0,1,0,0,2.69462719365756,0,1
0.0,3.934371429982094,0,0,1,0,0,1.6253112465718973,0,1
0.0,3.6645867849958993,0,0,1,0,0,1.768149626372949,0,0
0.0,2.938103116266432,0,0,1,0,0,0.858661625099008,0,0
0.0,4.019800572942015,0,1,1,0,0,1.9300710656475693,0,0
0.0,6.380664775157312,0,0,1,0,1,4.097506202743746,0,0
0.0,3.858200221274228,0,0,1,0,1,1.964311250476824,0,0
0.0,5.777156833112753,0,0,0,1,0,3.1759683557124334,0,0
0.0,5.752890068133319,0,0,0,0,0,3.542407528131495,0,0
0.0,4.068684807613827,0,0,1,0,0,1.652497361701376,0,0
0.0,5.460861308702963,0,0,0,0,0,2.525728644308256,0,0
0.0,3.4134553066912887,0,0,1,0,0,1.0681530697130914,0,1
0.0,3.8607297110405954,0,1,1,0,0,1.2441546022037906,0,0
0.0,3.41739875349338,0,0,0,0,0,0.6471032557894513,0,0
0.0,3.536893114879488,0,0,1,0,1,1.3376291741201165,0,0
0.0,5.299316851637575,0,0,1,0,0,3.527830010189076,0,0
0.0,2.865623557793666,0,1,1,0,0,1.5665304034589465,0,0
0.0,2.6803363729930827,0,0,1,0,0,0.8285518009080813,0,0
0.0,4.5845592227380365,0,1,1,0,0,2.8769487504515148,0,0
0.0,5.156350488067876,0,0,0,0,0,2.847812143477369,1,0
0.0,2.8741294000992386,0,0,1,0,1,0.7419373560826429,0,0
0.0,4.7104306829113005,0,0,0,0,0,2.191653510975606,0,0
0.0,6.397396261833137,0,0,0,0,0,3.796387682384393,0,0
0.0,4.7033852307187685,0,0,1,0,0,2.1174596019816216,0,1
0.0,2.978586106957683,0,0,1,0,0,1.1151415749853149,0,0
0.0,3.348148187389192,0,0,1,0,0,1.0473190026461232,0,1
0.0,2.9188512539352938,0,1,1,0,0,0.3364722408786875,0,0
0.0,4.715816678754136,0,0,0,0,0,2.2481289353953264,0,0
0.0,4.084967377305684,0,0,1,0,0,2.90032210553568,0,0
0.0,3.3061538581455507,0,0,1,0,0,2.258633173576066,0,0
0.0,4.995589298714725,0,0,0,0,0,2.930126492015865,0,0
0.0,3.785325335062337,0,0,1,0,0,0.824175430418003,0,0
0.0,3.2669037764268696,0,0,1,0,0,0.9783261102452614,0,0
0.0,3.7414719006138495,0,0,1,0,1,2.244955935706487,0,0
0.0,4.138520909955546,0,1,1,0,0,2.4680995476355903,0,0
0.0,3.822098314594677,0,0,1,0,0,2.230014420668335,0,0
0.0,4.019261753356316,0,1,1,0,0,2.2375130840367854,0,0
0.0,6.131748071336489,0,0,0,0,0,4.287853274875425,0,0
0.0,3.4995332362839555,0,1,1,0,0,1.3217558399823195,0,0
